item1,item2,n,correlation
recette,sucrer,205,0.22395934724169886
recette,crème,205,0.1994601330967034
chocolat,faire,204,0.24423802786541715
réaliser,recette,204,0.3684778918668879
parfaire,exceller,204,0.3020782825651996
recette,réaliser,204,0.3684778918668879
exceller,parfaire,204,0.3020782825651996
faire,chocolat,204,0.24423802786541715
excellent,faire,203,0.3222813310385781
régal,NA,203,0.3061042509215048
adorer,petit,203,0.36423548848179105
résultat,recette,203,0.35048358678987257
faire,excellent,203,0.3222813310385781
NA,régal,203,0.3061042509215048
petit,adorer,203,0.36423548848179105
recette,résultat,203,0.35048358678987257
aimer,NA,202,0.2175235601134851
trouver,NA,202,0.30214861909414514
NA,aimer,202,0.2175235601134851
NA,trouver,202,0.30214861909414514
simple,délicieux,201,0.29319857138299105
recette,quantité,201,0.34670639031142575
falloir,faire,201,0.2730867710844153
sucrer,NA,201,0.31740513926704605
quantité,recette,201,0.34670639031142575
délicieux,simple,201,0.29319857138299105
NA,sucrer,201,0.31740513926704605
faire,falloir,201,0.2730867710844153
pâte,bon,200,0.29518615111793095
beurre,mettre,200,0.31291311876242733
bon,pâte,200,0.29518615111793095
mettre,beurre,200,0.31291311876242733
vrai,faire,199,0.2762456099748394
ajouter,petit,199,0.2422451231871803
mettre,monde,199,0.2973126452862271
rapide,recette,199,0.28514115014522495
monde,mettre,199,0.2973126452862271
adorer,goût,199,0.2363777709458533
petit,ajouter,199,0.2422451231871803
faire,vrai,199,0.2762456099748394
goût,adorer,199,0.2363777709458533
recette,rapide,199,0.28514115014522495
gâteau,NA,198,0.23135373476260795
falloir,mettre,198,0.25040444735078315
NA,gâteau,198,0.23135373476260795
mettre,falloir,198,0.25040444735078315
délice,faire,197,0.25068711679440153
faire,délice,197,0.25068711679440153
beurre,faire,195,0.2103466638814196
réaliser,NA,195,0.20487217915225114
parfaire,super,195,0.27151562322677447
NA,réaliser,195,0.20487217915225114
sucre,simple,195,0.212634490367651
délice,mettre,195,0.27774626238250466
simple,sucre,195,0.212634490367651
super,parfaire,195,0.27151562322677447
faire,beurre,195,0.2103466638814196
mettre,délice,195,0.27774626238250466
crème,NA,194,0.22158275642962832
parfaire,facile,194,0.27677426748339456
vrai,mettre,194,0.23731602438432098
NA,crème,194,0.22158275642962832
mettre,vrai,194,0.23731602438432098
facile,parfaire,194,0.27677426748339456
simple,exceller,193,0.24156719307208746
exceller,simple,193,0.24156719307208746
mettre,utiliser,192,0.29842116411757674
utiliser,mettre,192,0.29842116411757674
faire,utiliser,191,0.2604581175960725
utiliser,faire,191,0.2604581175960725
prochain,NA,191,0.2682636356045397
parfaire,petit,191,0.2844006196895082
NA,prochain,191,0.2682636356045397
trouver,mettre,191,0.2849666844628421
petit,parfaire,191,0.2844006196895082
